,sentiment,content
390,0,say still dreaming nikon d errr ate kuya please lang huhuh http plurk com p wxrx
391,1,clive birthday pat http apps facebook com dogbook profile view
392,0,ravenlar s ok trying plot alternative speak sigh
393,0,got back home shit meeting tmrw staying sea view even dont fresh undergarment tiring hr working day
394,1,xlesseyx good cup cake
395,1,rishloves make smile rishlooband
396,1,oh god cheesy disco music started everyone getting table need wine
397,1,rozarin whaa really should definitely optional though liked them also crazy
398,0,wow really missin fam ily today baddd
399,0,need sit inside hurt ughhh
400,1,happy mother day
401,0,blockbuster week new zealand quot wolverine quot tomorrow followed quot star trek quot thursday
402,0,pauldoussay yes stupid girl kind
403,0,broke laptop again
404,1,got home day pampering shopping white outfit totally complete
405,1,getting ready summy yummy cocoa crispies
406,0,japumpy need botox work lip going change name angelina jolie thought sad though racism
407,0,recession hit veronique branquinho quit company shame
408,1,weetabix choco milk yum
409,0,whats wrong flickr http www flickr com photo frenchtoastcake quilt top photo show click it sad story
410,0,god want sleep
411,1,work gettin paid sit arse guest yet mum comin eexcited
412,0,awh last day tour miss hangin w sendoutscuds child soooo let s make awesome nite ok
413,0,well thats day watching panther tonight beat saint finger crossed cause qld team playing round
414,0,fuck elora danan breaking im missing last nsw show def need hit melbs someone come
415,0,sick kid trump advance planning bummer
416,0,im going bed dnt feel well always
417,1,irontec thanks support
418,0,poor greg stupid uk always sympathy vote xo
419,1,yay sherbert chocolate nutritious
420,1,angelakeen next wk c drs maybe then would love it go mac grill john there thought u
421,1,thank gut follower mean lot
422,1,slashfilm peter follow me oh fun europe
423,0,kdelbonis well can t get cupcake can t connect t mobile s network sim card corrupted
424,1,googledocs folder instead label like gmail kind like label
425,1,lol kalahari net marketing quot may th you quot
426,1,officialtila thanks interview mama enjoy night
427,0,finally finished exam amp home watch otalia amp pbp bpd otalia today hmm via http twib e cop
428,1,ankita gaba evrytime listen name tat plce reminded mojojojo dexter s lab
429,0,rawrgoesaimee ah bibisita ka kina gq bukas sasama ka sa rusher eb able visit jumpstart tom coz something
430,1,smith amherst mini reunion last night fun miss old day
431,0,yeah last long
432,0,dosen t want go work tomorrow
433,1,shhhweeeet jay z bros back prom
434,0,marijo sabido nada de ti making bit sad must say
435,1,inkcircles thank you
436,0,lonejohnny awwww waiting then hope rain
437,0,meli beli haha yeah u did oh well there always next yr chin princess hehe
438,1,thing really demand lot time anyways gotta get breakfast watch naruto s latest episode
439,1,emilyyoung havin fun x btw isnt bowling x xx
440,0,going fold laundry hit sack boring saturday evening
441,1,wp cheer
442,1,chrisbrownweb hope ye got dem ur site amazing got everyday tryed own amp failed lol
443,0,sweet charlotte should another thrown sure one american family
444,1,excited r r mother s day
445,1,drewpeacock cool dude yeah hoping rate still lol yeah sure ill mar par birthday dinner
446,1,kristyknox sound like fun think lol naughty ironing watching nk porn youtube instead lmao
447,0,davestyles haha yes b men lie show one marry
448,0,susiegroove yes thank you contacted ce response
449,0,spyou oh no sorry hope back bike soon
450,1,justinphillip awesome kind
451,1,kyspeaks yah footlong sausage mah halal place piggy sausage bigger
452,0,dougreport checked worked sorry
453,0,laura mckay sadly no sitting inside mobile signal work garden opening wine bang pm though
454,0,thedebbyryan look like ninja tutle xo lol
455,0,laying bed sore snuggeling domino wanna work today
456,1,liannaknight can t wait see you week go fast enough
457,0,now conjunctivitis left eye sign something wrong deserve this lol dying people
458,1,woohoo this day week lord made remembered get wear jean amp chanclas week
459,0,http bit ly ww noooo go orlando omg gonna cry
460,0,dann vega misconnected next flight midway tonight hotel w o undies
461,0,play tennis bel air court wet but play anyway
462,0,hate interview im going horrible today
463,0,dont get
464,1,day day shred day special k challenge feel fantastic
465,1,hoisin duck pizza salt pepper pizza gelato dinner edmund jade good time
466,1,awww bought mom cutest thing mother day woop woop mee expert shoper
467,1,amedawg haha that s great yeah zachary quinto spock really awesome indeed
468,0,everything workout planned
469,1,finished filming day another fun day set hahaha
470,1,getting puppyyy name him think romeo cute
471,0,busy day time tweet bmore what s happening weekend
472,1,oh yes level
473,0,massive headache
474,1,santoscarmen that s lot mango haha baka naglilihi ka ahh haha joke lang carmen
475,0,holy shit super sunny friday whitsun tube deeeesearted wish park http tinyurl com nsl
476,0,go uploading photo email would ten tenenen tenen done
477,0,soooo cold amp ugly out
478,1,finish sketch und go skate yeeeehaaa got new deck
479,0,seems really quiet tonight am jealous clearly exciting life bed think
480,1,mjasenn totally owe week on call duty appreciate jill town
481,0,troublepandapr ok that s true plus insulting saying insulting you trying cheer up butï¿½nadaï¿½
482,0,bighugclub get around problem good idea
483,0,singz think im jst abt done ur girrrlfriend im leavin im leavin jst love cm
484,0,sad i ll miss grandma angie always like rd grandma me
485,0,anachronous miss
486,1,http slingalink com evice daughter kindergarden
487,1,put brat bed im chillin noodle
488,0,alancarr quaver sandwich tea
489,0,scavengerlor lol clever extremely jealous amount follower
490,0,officially booked seattle cfine ebotkin going best birthday weekend ever bradlawrence you made sad
491,1,wearing new victoria s secret slipper
492,1,davorkapozgan congratulation great funky site u waaw
493,0,missing smartbrain bkk na
494,1,johnlegend thats charmingly funny
495,0,pinkpop weekend amp got ticket meaning bruce springsteen oh well wwwwweeeeeeeeeeeeeeekkkkkeeeennnndddd
496,0,edge left contributor list month s issue x ffs lt werd
497,0,curren y spitta caught traffic around howlin wolf min wondering wth going on musta nice
498,0,goodbye picnic classmate today weather fucking beautifuul
499,0,wimnms well miss think would really like re trina
500,1,finished watching last star war
501,0,jonathanrknight actually wish back tahoe miss there
502,0,realized today last day see best friend tanner im goin miss much
503,1,tkpleslie friend call quot mother earth quot ever seems me nurturing second nature some me god baby
504,0,hot texas ac upstairs broken really hot house
505,1,sugafactory omg haha half hour late work whoop hahaha h workin sat mornins
506,0,looking forward driving storm
507,1,eating one big subway cooky glass warm milk yum
508,0,asheruk wanted go birthday
509,0,judez xo pretty took like hour ursssss
510,1,photo got print day ago ready norskart exhibition http tumblr com xhtphgl
511,0,long painful mile today knee ache approaching year rough accepting well glass draft helped
512,0,last day school last concert life wow say emotional im really gonna miss mhs graduation practice today
513,1,getting fab portrait ready upload today
514,0,puppy sick
515,1,pixelbase steverumsby care eurovision yes jury based vote year eurovision
516,1,postlemonkey oh awesome yahooo good night sleep tight let bed bug bite
517,1,good morning http bit ly tjvhv
518,1,kyleandjackieo body tom novy voodoo child rogue trader good memory song
519,0,rip officer edward may god continue bless family what s wit cop killing cop seen thing happen quot the wire quot
520,1,ssnape yes though perhaps thinking like vague seems popper term you
521,0,raining can t go jogging house gym
522,1,caught email research project yay label search gmail much easier
523,0,sad fitness center reopens zumba class anymore found today last class closure
524,0,depressed right now idk
525,1,another fun night chilled wit homie green turtle n park good time good time
526,1,started great mother s day season
527,0,poor imissbradandjen s mom told looked like hooker skirt short degree out
528,0,know watch holly again break heart
529,0,chrisbrownweb according bow wow his best friend chris twitter want hater probably
530,1,good nite everybody lt baby boy gt
531,0,lunch time feeling really odd today generally great
532,0,barbschaefer yearling pet home died sad whole family
533,0,want see next gossip girl episode
534,1,fpoint oh nice something nice next week going madrid next weekend day
535,0,back work warm today
536,1,time always seems fly im wade weird like it lot
537,0,paycheck nothing piece paper
538,0,day started bad got better
539,0,myinnercougar sorry day bad gettin drink on good plan
540,1,yay sing loud wed fall boy time low cobra starship friday win
541,0,oh obviously back stupid sleep schedule luckily church tomorrow
542,0,bored waiting till go tha bus
543,1,missamanda yeah take care tonight tomorrow pay night easy
544,0,beverleyknight hiyaaaaaa got back scan wow amazing cried haha xx
545,0,peep coming chi twn today weekend hang w dont time always workin
546,0,roxie feeling well http apps facebook com dogbook profile view
547,0,definitely working sunday afternoon late evening
548,1,new shackletonmusic single bought awesome well done boy
549,0,drove nbc s burbank lot line leno wrapped around building longest ever seen leno s last show
550,0,came online big cause ruined
551,0,spent last hour signing yearbook miss guy
552,0,bad mood
553,0,ha got another followfriday take mage oh listed too thanks lot lowjacker ya jerk
554,0,know right now pretty bored refuse study suggestion
555,0,jenny gorgeous pffff love style want outfit
556,1,can t wait make call tomorrow gotta keep moving forward
557,1,eltonmcmanus amp matey
558,0,elmers miss u
559,1,christian lol twitter addict
560,0,madly love row wishing money
561,1,darren linkedin yes say twitter friend never idk people http www linkedin com in darrenmonroe
562,0,jesusfreak probably suck you
563,1,awake husband snoring faintly side happy
564,1,excited lot good thing happening work wise melbourne
565,0,jerseyzmorenita sad true shouldnt right
566,0,want see bud mel miss hur load
567,1,kashimae thanks kashi thinking day mad disservice taking ur class
568,0,fell holdin kale hand today i hurt foot amp bruised forehead im klutz
569,1,love two favorite show acronym lol
570,0,mdfogarty im sad work today cant win ticket
571,0,tommcfly tom today school played pov break almost cryed show sao paulo today wish could there
572,0,springwestend cant believe closing moro ive never chance see show good luck everyone star
573,1,mcrsavedmilife haha yes
574,0,serenity fair
575,1,taylorswift woooooooooo coming nottingham point lovelovelove lt
576,1,year old barbie doll still rock it that girl h o t ken ain t bad either memory
577,1,tomorrow valeria s lunch going get hair done im arraving late got cousin babtizm whatever spell
578,1,mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutu
579,1,back first k running race still alive
580,0,jpadamson wait red could age know mean though really looking new job
581,1,wroe ohhhh excellent song hello friend
582,1,great shot yesterday editing pic
583,1,maybe could drill hole me lol oh snap sorry resist
584,0,bored barely even tweet nothing talk about boredboots
585,1,playing skate two hour need get actually skate late
586,0,didnt get paid week roll tuesday
587,1,anyone drive newish diesel car advice pro con interested old diesel car need recent model experience eg suv
588,0,philiphotchkiss sorry see twitter user named tomclain
589,1,arizona abby thank you check
590,1,e o lol tiz good song
591,1,danny gavinmusic great pic have upload pix tomo i ve laptop tonight
592,1,willye going sleep kidding p
593,0,gfalcone britain s got talent cute little girl feel sorry her hope simon find time xx
594,0,alwaysmuah hey ruthie girl u send lovely twitts never respond hurt how s mikey dion
595,0,hey dude turned flyer poser nice
596,0,dtothealex really alumnus know myself mac yet there
597,0,good morning folk day go sadly day giro mean tour far away
598,1,montiasutton wish could really love u around ill see do try use national champ pull lol
